Actual Cap Rate,Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Condition,Building Materials,Buyer (True) Address,Buyer (True) City,Buyer (True) Company,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Company,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Ceiling Height,Comp ID,Comps Number,Corner,Coverage,Description Text,Document Number,Down Payment,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Improvement Ratio,Land Area AC,Land Area SF,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Company,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Code,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Non-Arms Length Reasons,Number Of 1 Bedrooms,Number Of 2 Bedrooms,Number Of 3 Bedrooms,Number Of Floors,Number Of Other Bedrooms,Number Of Parking Spaces,Number Of Rooms,Number Of Studios,Number Of Tenants,Number Of Units,One Bedroom Mix,Other Mix,Parcel Number 1,Parcel Number 2,Parking Ratio,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property Address,Property City,Property County,Property Name,Property State,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,Property Zip Code,PropertyType,Proposed Use,Publication Date,Rail Served,Recording Date,Research Completed Date,Research Status,Roof Type,Sale Condition,Sale Date,Sale Price,Sale Price Comment,Sale Status,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Size,Stamp,Star Rating,Studio Mix,Submarket Cluster,Submarket Code,Submarket Name,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typ Flr (SF),Units Per Acre,Vacancy,Year Built,Zoning
,,,,,,2012,22954388,,,Reinforced Concrete,500 Chesterfield Pky,Malvern,Liberty Property Trust,,6106481700,,,PA,Chesterfield Pky,500,19355,500 Chesterfield Pky,Malvern,Liberty Property Trust,Donna Wagner,6106481700,PA,Chesterfield Pky,500,,,19355,,,,,,,,,,,,,,2857327,,,,,20130521222,,,470000000,Citigroup Global Markets Realty Corp.,,"On July 31, 2013, Liberty entered into a commitment letter with Citigroup Global Markets Inc and Goldman Sachs Bank for a New Term Loan worth $470 million. cgeorge",,,,,,,,,,,,39.9080094,,"777 Brickell Ave, 900",Christian,Lee,Miami,CBRE,3053741000,FL,Brickell Ave,777,,,33131,,-77.6626623,,,,,,Philadelphia,,Liberty Property Trust Cabot Fund III,,,,,,,,,,,543,,,,20-0135-017,1.07602E+12,,,,,Liberty Property Trust Cabot Fund III,,,,,,,,,,,,,1475 Nitterhouse Dr (177 Properties),,,Liberty Property Trust Cabot Fund III,,Nitterhouse Dr,1475,,,,Mixed,,10/8/2013,,10/10/2013,10/16/2013,,,"Bulk/Portfolio Sale, Debt Assumption",10/8/2013,1475000000,Confirmed,Sold,,,,,Distribution,"One Beacon St, 1700",Boston,"Cabot Properties, Inc.",Franz Colloredo-Mansfeld,6177237400,,,MA,Beacon St,One,02108,"One Beacon St, 1700",Boston,"Cabot Industrial Value Fund III Manager, LP",Damian Bailey,,MA,One Beacon St,,,,02108,22954388,,3 Star,,Central Pennsylvania Ind,P03,Harrisburg Area West Ind,Single,,,,"On October 8, 2013, Malvern, PA-based Liberty Property Trust closed on the acquisition of the Cabot Industrial Value Fund III for $1.475 billion or approximately $64 per square foot. The transaction totaled approximately 23 million square feet, 177 properties and 24 new industrial markets. Approximately 58% of the portfolio is located in existing Liberty Industrial markets, including Chicago, South Florida, Houston, New Jersey, Maryland, U.K., Central Pennsylvania, Carolinas, Minnesota, Tampa, Richmond, Arizona, Orlando and Philadelphia. These properties were 92.8% leased at the time of sale. Of the remaining approximate 10 million square feet, Liberty acquired in new market areas including; Atlanta, Dallas/Ft. Worth, Cincinnati, Indianapolis, Columbus, Southern California, Boston, Delaware, Memphis and Seattle/Puget Sound. The acquisition was funded through a combination of sources including proceeds of $834.1 million from an offering of 24,150,000 common shares, proceeds from the offering of $450 million of 4.40% senior notes due 2024 and the assumption of nearly $230 million in mortgage debt. The company also borrowed $470 million under a unsecured term loan (""New Term Loan"") and intend to sell certain operating properties that will generate approximately $150 million in additional proceeds. A $1.27 billion bridge loan, the company entered into a commitment letter for was not needed since net proceeds from equity offering and borrowings were secured. Citigroup and Goldman Sachs & Co. served as Liberty's exclusive financial advisors on the acquisition. Both Liberty Property Trust and Cabot Properties declined to disclose any additional information on the transaction at the time of this report. Deed and loan documents will be attached as they are recorded. More information will be added as it becomes available.",,,849200,,,,
10.3,,,,,,,5620814,,,,"1 Penn Plz, 4015",New York,Lexington Realty Trust,T. Wilson Eglin,2126927200,,,NY,Penn Plz,1,10119,2901 Butterfield Rd,Oak Brook,Net Lease Strategic Assets Fund LP,,6302188000,IL,Butterfield Rd,2901,,,60523,,,,,,,,,,,,,,2554284,,,,,,,,,,,,,,,,,,,,,,,34.7082999,,"2000 S Colorado Blvd, 8500",Michael,Kendall,Denver,SullivanHayes Brokerage,3035340900,CO,Colorado Blvd,2000,,S,80222,,-81.141617,,,,,,Charlotte,,LXP/Inland Net Lease Str. Assets Fund,49600000,,,,,,,80,,,65,,,,,,,,,,LXP/Inland Net Lease Str. Assets Fund,,,,,,,,,,,,,590 Ecology Ln (42 Properties),,,LXP/Inland Net Lease Str. Assets Fund,,Ecology Ln,590,,,,Mixed,,9/14/2012,,,9/25/2012,Research Complete,,"Bulk/Portfolio Sale, Debt Assumption",9/7/2012,481553398,Confirmed,Sold,,,,,Warehouse,2901 Butterfield Rd,Oak Brook,"Inland American Real Estate Trust, Inc.",Brenda Gujral,6302188000,,,IL,Butterfield Rd,2901,60523,2901 Butterfield Rd,Oak Brook,Net Lease Strategic Assets Fund LP,,6302188000,IL,Butterfield Rd,2901,,,60523,5620814,,3 Star,,Chester County Ind,GJK,Chester County Ind,Single,,,,"The information included in this report was gathered from SEC filings. This transaction represents Lexington Realty Trust purchasing their partner Inland American Real Estate Trust's stake in a 42-property portfolio of net lease assets. Lexington paid $481,553,398.06 for the interest on September 7, 2012, according to their 8-K filing released August 31, 2012. The purchase price reported here is derived from dividing the portfolio's reported net operating income of $49.6 million by its reported cap rate of 10.3%, as mentioned in the August 31 8-K. Inland's interest in the portfolio was 85%, according to filings. The venture was titled Net Lease Strategic Asset Fund, LP, by the parties when it was established in 2007. The portfolio includes 26 office properties, 13 industrial buildings, 2 speciality properties, and a 40% tenant-in-common interest in another property. $259 million in consolidated debt was held by Net Lease Strategic Assets Fund at the time of the sale, according to filings.",,,420597,,,,
6.7,,,78406139,53212969,131619108,2010,4170669,,,Masonry,"5847 San Felipe St, 4400",Houston,Verde Realty,,7133383000,,,TX,San Felipe St,5847,77057,,,,,,,,,,,,,,,,,,,,,,,,,2256334,,,0.043699611,"Located near the Interstate 70 and Interstate 81 crossroads 130' truck court depth, 2 drive-in loading zones, 456 building depth",1664713,163325000,,107875000,Wells Fargo Bank,,Loan Apportioned Across Portfolio,0.045999614,,,,,59,265.82,11579119,,,,39.627104,,,,,,,,,,,,,,,-77.7984224,,,,,,"Washington, DC",,Verde Realty Portfolio,19450000,,,,,,,317,,,18,,,,7318-014-020,276-061-01,,2.199987,,,Verde Realty Portfolio,,,,,,,69.61,69.61,,,,,16507 Hunters Green Pky (15 Properties),,,Verde Realty Portfolio,,Hunters Green Pky,16507,,,,Industrial,,2/7/2012,,2/9/2012,2/14/2012,Research Complete,,"Bulk/Portfolio Sale, Debt Assumption ...",1/26/2012,290300000,Confirmed,Sold,19100000,Us Bank N A,,Assumed (Salt Lake Bldg) nder Name: * Other Institutional Lenders Us Bank Na #2006-ldp7 (ce),Distribution,"2 Seaport Ln, 1600",Boston,AEW Capital Management,,6172619000,,,MA,Seaport Ln,2,02210,,,FR NET Lease Co-Investment Program 1 LLC,Nate Munson,,,,,,,,4170669,Full,4 Star,,Washington County Ind,W99,Washington County Ind,Single,,,,"Sold was a portfolio of properties to entities associated with Verde Realty. In total the portfolio sold for $290,300,000.00 or for an equivalent $69.61 per square foot. However, please see the notes on Carson Del Amo portion of the sale. The portfolio was 97.6% occupied at time of sale. Note: CoStar shows 15 buildings as sold but tracks 4199 Gibraltar & 4201 Gibraltar as separate buildings although atop one parcel. Overall, the portfolio was cited as yielding a 6.7% cap at time of sale, for calculated NOI of $19,540,000. per year. All but the building at 2202 E Del Amo operate under a NNN-type lease. Per the parties, expense information for the buildings was not readily available. The Carson, CA portion of the sale equals 612,059 square feet and sold for an average of $94 per square foot. At Carson, each parcel was separately titled as follows: 2202 E Del Amo (APN 7318-014-020): Verde 2202 Del Amo LLC 20488-20490 Reeves (APN 7318-014-014): Verde 20488 Reeves LLC 20455 Reeves (APN 7318-014-018) Verde 20455 Reeves LLC 20444 Reeves (APN 7318-014-019) Verde 20444 S Reeves LLC 2130-2140 Del Amo (APN 7318-014-017) Verde 2130-2140 Del Amo LLC The buyer reported that they were attracted to the stable tenant mix of the properties that served their key markets. There were no unusual sale conditions reported.",56106.3,,506003,,,,
,,,183430590,40952821,288383411,2010,7970043,,,Reinforced Concrete,"140 Broadway, 43rd Floor",New York,KTR Capital Partners LP,,2127105060,,,NY,Broadway,140,10005,,,,John DiCola,,,,,,,,,,,,,,,,,,,,,2220304,,,0.030937369,Located next to Rickenbacker Airport on Pontius Road and Hayes Road. There is additional trailer/automobile parking. Foreign Trade Zone possible.,11-115262,19000000,,246000000,Prudential Insurance Company of America,,,0.031535355,,,,,63,559.5,24371820,,,,39.832492,,,,,,,,,,,,,,,-82.899347,,,,,,Columbus,815,Allianz Life / KTR Capital,,,,,,,,728,,,17,,,,6717098,0426-18-2-0-00004,,,,,Allianz Life / KTR Capital,,,,,,,33.25,33.25,,,,,6766 Pontius Rd (18 Properties),,,Allianz Life / KTR Capital,,Pontius Rd,6766,,,,Industrial,,12/7/2011,,,12/13/2011,Research Complete,,Bulk/Portfolio Sale,11/20/2011,265000000,Approximate,Sold,,,,,Warehouse,"60 E 42nd St, 3710",New York,Allianz Real Estate America,Georgia Carreira,2032218500,,E,NY,42nd St,60,10165,,,,Georgia Carreira,,,,,,,,7970043,,4 Star,,Southeast Ind,GW2,Southeast Ind,Multi,,,,"Sold was a 18 property portfolio consisting of 7,970,082 square feet in total, or Ò $33.25 per sq. foot. Unconfirmed news reports value the deal at approximately $265,000,000.00. The property was 72% vacant at the time of sale. The buyer verified the sq. footage of the buildings but declined to speak to the exact price, deferring to the sellers. The buyer did state that the aggregate occupancy rate for the portfolio was 72% at time of sale, but that they had a tenant-in-tow for one property that raised the occupancy rate soon after closing to 84%. For purposes of the square footage calculations the buyer viewed the property at 5401 N Riverside Dr, Fort Worth, TX as being 493,368 sq. feet which is 165,324 sq. feet less than the property is currently being marketed as having available, the square footage that is associated with some mezzanine areas that may or may not remain and was thus discounted by the buyer in their purchase calculations. The true overall square footage for the portfolio is 7,804,758 sq. feet. The seller is the German-based insurance company Allianz through a US-based subsidiary Allianz Life Insurance Co. of North America. Financing was through an assumable note originally issued in July, 2010 with a balance of $160,000,000 that is to be superseded by a note of even date for $246,000,000, which once in effect will incorporate and extinguish the original note of $160,000,000 with on the $246,000,000 note remaining. The buyer viewed the transaction as meeting its stated obligations to acquire high-quality stable assets in established markets. The seller was reported as seeking to exit the ownership of such assets to concentrate on asset lending. Please note: Initial news articles erroneously reported that 20 properties had transferred. Only 18 properties traded in the transaction.",,,754000,,,,
,,,186855343,116400318,300155661,2012,5384294,,,Reinforced Concrete,"2 Seaport Ln, 1600",Boston,AEW Capital Management,,6172619000,,,MA,Seaport Ln,2,02210,,,,,,,,,,,,,,,,,,,,,,,,,2786676,,,0.064755557,,,,,,,,,0.064755557,,,,,62,284.55,12394998,,,,34.0082084,LAS COLINAS BUS PK 21ST INST TR 1 ACS 5.78 INT201100101767 DD03242011 CO-DC 2585600000100 1CI25856000,"100 Wilshire Blvd, 1500/1600",,,Santa Monica,"Eastdil Secured, LLC",3105269000,CA,Wilshire Blvd,100,,,90401,,-117.5558781,,,,,,Inland Empire (California),,Western US Industrial Portfolio,,,,,,,,950,,,65,,,,3.22586E+16,2164-09-024,,,,,Western US Industrial Portfolio,,,,,,,,,,,,,12510 Micro (30 Properties),,,Western US Industrial Portfolio,,Micro,12510,,,,Mixed,,7/10/2013,,,7/22/2013,Research Complete,,"Bulk/Portfolio Sale, Partial Interest Transfer",4/13/2013,249350000,Confirmed,Sold,,,,,Distribution,"3347 Michelson Dr, 200",Irvine,LBA Realty,,9499559395,,,CA,Michelson Dr,3347,92612,17901 Von Karman Ave,Irvine,LBA/CPT Industrial-Compay I LLC,Tim Ednoff,,CA,Von Karman Ave,17901,,,92614,5384294,,3 Star,,Inland Empire East,Z4C,Riverside,Single,,,,"On the 13th of April 2013, a partial interest the Western US Industrial Portfolio was sold for $249.35 million, or about $46 per square foot. The portfolio was reported to be 97% occupied at the time the transaction closed. The portfolio emcompasses 5,348,303 square feet and is 83% in California and has 58 tenants in 16 industrial parks. The portfolio was valued at $498.7 million and the buyer took down 50%. A source deemed reliable reported that this was all of LBA's Fund 4 with a few other industrial parks. The portfolio is made up of the following industrial parks. -Mira Loma Distribution Center (Part 1) - 12455 Harvest Drive & 12510 Micro Drive in Mira Loma, California: 1,368.243 square feet, 100% occupied -Mira Loma Distribution Center (Part 2) - 4560 Hamner Road in Mira Loma, California: 239,121 square feet, 100% occupied -Los Angeles Regional Distribution Center - 5305 Rivergrade Road in Irwindale, California: 646,998 square feet, 100% occupied -Gale Distribution Center - 16633-16801 East Gale Avenue in City of Industry, California: 368,978 square feet, 100% occupied -2285 Rutherford Road in Calsbad, California: 127,297 square feet, 100% occupied -3209 Lionshead Avenue in Carlsbad, California: 74,774 square feet, 100% occupied -2055 South Seventh Street in San Jose, California: 452,025 square feet, 71% occupied -San Leandro Business Park - 1515, 1575, 1625, 1655, 1670 Alvarado Street in San Leandro, California: 275,975 square feet, 91% occupied -Polvorosa - 2371 - 2375, 2435, 2451, 2475 Polvorosa in San Leandro, California: 324,472 square feet, 100% occupied -7500 Edgewater Drive in Oakland, California: 203,189 square feet, 100% occupied -33463 Western Avenue in Union City, California: 85,584 square feet, 100% occupied -800 & 850 Corporate Way in Fremont, California: 193,721 square feet, 100% occupied -Rocky Mountain Business Center - 13250 East Smith Road in Aurora, Colorado: 138,828 square feet, 100% occupied -Denver Commerce Center - 1101-1109 W 48th Ave & 5055 Kalamath Street in Denver, Colorado: 433,192 square feet, 97% occupied -14001 Inwood Road in Farmers Branch, Texas: 110,906 square feet, 100% occupied -545 Oakmead in Sunnyvale, California: 115,000 square feet, 100% occupied -5931 West Campus Circle in Irving, Texas: 210,000 square feet, 100% occupied. Eastdil Secured, LLC's Santa Monica office advised the seller and worked directly with the buyer on this transaction. Information from this comp has been confirmed.",,,802645,,,,
6.98,,,,,,2011,2795678,,Good,Steel,"230 Park Ave, 12th Floor",New York,Clarion Partners,C. Stephen Cordes,2128832500,,,NY,Park Ave,230,10169,2650 Cedar Springs,Dallas,"CLPF- Kyrene 3, LP",Dayton Conklin,6786862970,TX,Cedar Springs,2650,,,75201,,,,,,,,,,,,,,2160662,,,0.048839046,This building shares a truck court with an adjacent building on one side and has a wide full-length truck court on the other side.,666501,118000000,,,,,,0.055498936,,,,,,160.38,6986152,,,,39.903833,Trt A Kyrene Commerce Center Unit One bk 301 pg 38 (exc por),"3280 Peachtree Rd, 1400",Frank,Fallon,Atlanta,CBRE,4045047900,GA,Peachtree Rd,3280,,,30305,,-83.095039,,,,,,Columbus,101,Capital Park South,8236400,,,,,,,120,,,32,,,,301-47-748A,M5610-006-000-009,,1.461868,,,Capital Park South,,,,,,,,,,,,,2919-2999 Lewis Centre Way (13 Properties),,,Capital Park South,,Lewis Centre Way,2919,,,,Mixed,,8/15/2011,,8/10/2011,8/17/2011,Research Complete,,Bulk/Portfolio Sale,8/10/2011,118000000,Confirmed,Sold,,,,,Distribution,"Pier 1, Bay 1",San Francisco,Prologis,Blake Baird,4153949000,,,CA,"Pier 1, Bay 1",,94111,4545 Airport Way,Denver,"Prologis North American Properties Fund I, LLC",Bob Kritt,,CO,Airport Way,4545,,,80239,2795678,,3 Star,,Southwest Ind,GW0,SW Columbus Ind,Multi,,,,"This sale represents a 13-building, 2,794,357-square-foot industrial portfolio for $118M, or $42.23 per SF. The properties involved were confirmed with the buyer and seller, and the seller's contact verified the RBA for each building. The total occupancy for the portfolio was reported as 91%, with one building, the 204,000-square-foot facility in Tracy, CA completely vacant. The sales price and cap rate were confirmed with a source deemed reliable. The NOI published here was calculated from the stated 6.98% cap rate. The portfolio was put on the market in early May with no asking price and under contract for 30 days before closing in an all-cash deal. The buyer made the acquisition to increase the size of their industrial portfolio in what they regard as strong markets.",,,341197,,,,
6.3,,,,,,2010,1599546,,,Masonry,"518 17th St, 1700",Denver,"Industrial Income Trust, Inc.",Peter Wiechecki,3032282200,,,CO,17th St,518,80202,,,"IIT Marina West Industrial LLC, et al.",,,,,,,,,,,,,,,,,,,,,,2227247,,,0.059170207,Located adjacent to I-285 and two (2) miles from I-75. Five minutes to Atlanta Hartsfield Airport.,48382-0362,43500000,,61000000,New York Life Insurance Company,3484929,,0.062276742,,,,,,115.23,5019418,,,,33.636119,Por SE1/4 Sec 3 T50S R40E por par 4 Marina West Par A PBk 121 Pg 17,,,,,,,,,,,,,,-84.381301,,,936,J,9,Atlanta,,SouthPoint,6583500,,,,,,,168,,,22,,,,50-40-03-03-0040,0523-18-2-0-00001,,,,,SouthPoint,,,,,,,65.33,65.33,,,,,2500 Southpoint Dr (8 Properties),,,SouthPoint,,Southpoint Dr,2500,,,,Industrial,,12/19/2011,,12/19/2011,12/30/2011,Research Complete,,Bulk/Portfolio Sale,12/15/2011,104500000,Confirmed,Sold,,,,,Distribution,"1100 NE Peachtree St, 1100",Atlanta,IDI,Timothy Gunter,4044794000,,NE,GA,Peachtree St,1100,30309,3424 Peachtree Rd NE,Atlanta,"Marina West LLC, et al.",Bob Tardy,4044794000,GA,Peachtree Rd,3424,NE,,30326,1599546,,4 Star,,South Atlanta Ind,GOV,Airport/North Clayton Ind,Single,,,,"The information contained in this report details the sale of 8 industrial buildings totaling 1,599,546 SF for a confirmed $104.5 million price on December 15, 2011. That equates to $65.33/SF. A $61 million note is associated with this trade. Per the attached SEC filing, the note is due January 5, 2019. The note is amortized over 30 years, and the first two years are interest only. All of the involved assets are encumbered by this note, with New York Life Insurance Company. It was reported that the portfolio traded at a 6.3 cap rate, indicating portfolio NOI of $6,583,500. It was reported that the assets are 93% leased to 16 tenants with average remaining lease term of 4.6 years. It is unclear at this point if there was broker involvement on the transaction. The seller will continue to manage and lease the portfolio. It is unclear if that ongoing relationship impacted price paid for real estate.",299600,,297000,,,,
6.25,,,27137350,5562650,32700000,2013,458338,B,,Masonry,"2555 E Camelback Rd, 1100",Phoenix,"Cole Corporate Income Trust, Inc.",,6027788700,,E,AZ,Camelback Rd,2555,85016,"2325 E Camelback Rd, 1100",Phoenix,"Cole OF Irving (Freeport), LLC",Boyd Messmann,,AZ,Camelback Rd,2325,,E,85016,,,,,,,,,,,,,,2779531,,,0.032367776,,,,,,,,,0.278008443,,,,,82,28.37,1235797,,,,32.928446,DFW FREEPORT 16TH INST BLK O LT 1 ACS 0.554 REM ON 320956700O0010000 VOL87232/2064 DD120187 CO-DALLAS 0956700O00199 1320956700O,"1717 McKinney Ave, 900",Creighton,Stark,Dallas,Colliers International,2146921100,TX,McKinney Ave,1717,,,75202,,-97.011624,,,11,Q,D,Dallas/Ft Worth,,Allstate Sale Leaseback,,,,,,,,650,,,5,,,,320956700O0010000,320956700O0019900,,,Irving,Dallas,,TX,75063,,,,,,,,,,,8701-8711 Freeport Pky (3 Properties),Irving,Dallas,Allstate Sale Leaseback,TX,Freeport Pky,8701,,,75063,Mixed,,7/1/2013,,,9/25/2013,Research Complete,,"Investment Triple Net, Sale Leaseback",7/1/2013,85184477,Confirmed,Sold,,,,,,2700 Sanders Rd,Prospect Heights,Allstate Insurance Company,,8474025000,,,IL,Sanders Rd,2700,60070,3075 Sanders Rd,Northbrook,Allstate Insurance Co,Carl Bradford,,IL,Sanders Rd,3075,,,60062,458338,,3 Star,,Las Colinas,GSU,DFW Freeport/Coppell,Single,,,877929.6,"This was a sale leaseback of a 458,338 square foot mixed-use complex located on Esters Boulevard between Sterling Street and Freeport Parkway in the DFW Freeport/Coppell submarket. The investment traded for $85,184,477, or about $185.85 per square foot blended. Individual valuations were not provided. This complex consists of a five-story office building (129,613 square feet), a three-story office building (255,375 square feet) and a single-story industrial building (73,350 square feet). Through the sale leaseback, Allstate will occupy the campus under a 12-year lease with renewal options. Two other purchases were made by the buyer during this time. To learn more about about those acquisitions, please refer to CoStar Sale Comp 2766501 and 2779534.",,,40000,,,,
7.6,,,,,,2011,1210830,,,Masonry,"One Beacon St, 1700",Boston,"Cabot Properties, Inc.",Charles Forbes,6177237400,,,MA,Beacon St,One,02108,1 Beacon St,Boston,Cabot III - DE1M01-M02 LLC,,,MA,Beacon St,1,,,02108,,,,,,,,,,,,,,2570424,,,,"Building consists of 155,000 SF of contiguous space which is divisible - offering 110,000 SF of AIR CONDITIONED space. Located near the eastern terminus of the Commodore Barry Bridge at Exit 2 of the New Jersey Turnpike, Commodore I-295 Business Center is a 382-acre master-planned park designed to accommodate 3.5 million sf of warehouse and light manufacturing space, 600,000 sf of office space, and a full-service hotel/conference center. April 2001: The building was sold to Invesco Realty Advisors. CB Richard Ellis represented the seller, Lend Lease Real Estate Investments.",20120925-0054840,78500000,,,,,,,,,,,,,,,,,39.764176,,"2100 McKinney Ave, 700-900",Jack,Fraker,Dallas,CBRE,2149796100,TX,McKinney Ave,2100,,,75201,,-75.33296,,,,,,Philadelphia,,Commodore 295 Business Pk,5966000,,,,,,,140,,,18,,,,11-021.00-028,24-00006-0000-00001-0001,,2.34123,,,Commodore 295 Business Pk,,,,,,,,,,,,,100 Gloucester Ct (10 Properties),,,Commodore 295 Business Pk,,Gloucester Ct,100,,,,Mixed,,10/8/2012,,9/25/2012,10/17/2012,Research Complete,,Bulk/Portfolio Sale,9/25/2012,78500000,Confirmed,Sold,,,,,Distribution,"120 N Lasalle St, 1750",Chicago,Lincoln Property Company,Gary Kobus,3123458780,,N,IL,Lasalle St,120,60602,,,Columbia De Pencader Ind,Eric Gluck,,,,,,,,1210830,,2 Star,,Southern New Jersey Ind,606,Gloucester County Ind,Multi,,,1142796,"All information in this comparable was confirmed with sources deemed reliable. The portfolio of Industrial, office, and Flex properties spanning throughout Massachusetts, Delaware, New Jersey, and Texas sold on September 25th, 2012. According to CoStar information, the properties comprising this portfolio total 1,203,932 SF, according to a contact for the buyer, this portfolio is composed of 1,366,102 SF. Where the discrepency lies was not determined. According to a contact involved in the sale, this portfolio was listed on the market without an offering price. The portfolio sold after a 30 day escrow period for a confirmed sale price of $78,500,000. At the time of the sale, the properties were 96% leased. The portfolio traded at a cap rate of 7.6%, which equates to a NOI of $5,966,000. The operating expenses were not disclosed by any of the parties involved. The buyer acquired these properties due to the quality of product, location of the assets, and they saw upside in the portfolio. The seller did not disclose any of their motivations for divesting their interest in these assets. The buyer did not acquire any financing on this transaction; they paid all cash at closing.",,,213563,,,,
,,,7873942,1412585,9286527,2011,2648312,,,Reinforced Concrete,"518 17th St, 800",Denver,DCT Industrial Trust,Philip Hawkins,3035972400,,,CO,17th St,518,80202,,,,,,,,,,,,,,,,,,,,,,,,,2675318,,,0.179704372,"Facility has extensive trailer storage and is expandable to 1,056,000 SF. There is no A/C space. Truck court is 130' and buiding is 440' deep. This property is being expanded by 330,000 sf. The expansion will be completed sometime in 2006. Johnson & Johnson will occupy the expanded space.",,,,,,,,0.182201207,,,,,84,132.73,5781718,,,,35.0048689,,,,,,,,,,,,,,,-89.9320516,,,,,,Memphis,,Memphis Tradecenter,,,,,,,,118,,,10,,,,094-01022065,09-4100-0-0153,,,,,Memphis Tradecenter,,,,,,,36.91,36.91,,,,6.5,3955 E Holmes Rd (6 Properties),,,Memphis Tradecenter,,Holmes Rd,3955,E,E,,Industrial,,2/12/2013,,,2/12/2013,Research Complete,,"Bulk/Portfolio Sale, Ground Lease (Leasehold) ...",11/15/2012,78200000,Confirmed,Sold,,,,,Warehouse,3 Abu Bakr Al Siddiq St,Kuwait City,Boubyan Bank of Kuwait,,96522325000,,,,Abu Bakr Al Siddiq St,3,13116,,,,,,,,,,,,2648312,,4 Star,,Southeast Ind,M03,Southeast Ind,Multi,,,,"The buyer announced that it purchased the 80% interest in properties from a joint venture partner for $78.2 million. The assets total 2.648 million square feet. Two of the properties, in Atlanta and Memphis, were sold at the beginning of 2013. The remaining four assets, 1.031 million square feet, are fully-leased. The buyer stated a going in cap rate of 6.5% after the sale of the two properties, with a stabilized yield of 7.2% after some free rent burns off. In the Q4 12 Earnings conference call, DCT noted that this was an off-market transaction that grew out of long discussions with their joint venture partner. Reportedly, the seller wanted to pull out of this sector in the US. The purchase closed in Q4 2012; 11/15/12 is estimated for the purpose of placing the transaction in the quarter. Note that the leasehold interest in one of the properties, 3955 E Holmes Road, Memphis, TN, transferred.",,,1039000,,,,
